training steps,trained avg reward,np mean
0,-23.11574882,-23.11574882
100000,-20.92975957,-20.92975957
200000,-20.572320490000003,-20.572320490000003
300000,-20.752595319999998,-20.752595319999998
400000,-19.22253253,-19.22253253
500000,-19.126870919999998,-19.126870919999998
600000,-18.0418265,-18.0418265
700000,-17.99053277,-17.99053277
800000,-18.192884879999998,-18.192884879999998
900000,-18.82548935,-18.82548935
